고유번호,호선,역사코드,역사명,주중주말,방향,급행여부,열차코드,열차도착시간,열차출발시간,출발역,도착역
11181,1,158,청량리,DAY,DOWN,0,K205,1900-01-01 21:03:00,21:03:30,동두천,인천
11638,1,158,청량리,END,DOWN,0,K195,1900-01-01 21:03:00,21:03:30,양주,인천
12080,1,158,청량리,SAT,DOWN,0,K195,1900-01-01 21:03:00,21:03:30,양주,인천
23633,1,1007,신도림,END,DOWN,0,K187,1900-01-01 21:03:00,21:03:30,의정부,인천
24283,1,1007,신도림,SAT,DOWN,0,K187,1900-01-01 21:03:00,21:03:30,의정부,인천
31905,1,1022,창동,DAY,DOWN,0,K209,1900-01-01 21:03:00,21:03:30,동두천,인천
33360,1,1032,신길,END,DOWN,0,K713,1900-01-01 21:03:00,21:03:30,광운대,천안
33969,1,1032,신길,SAT,DOWN,0,K713,1900-01-01 21:03:00,21:03:30,광운대,천안
53732,1,1724,평택,DAY,DOWN,0,K689,1900-01-01 21:03:00,21:03:30,광운대,신창
63189,1,1806,부평,DAY,DOWN,0,K191,1900-01-01 21:03:00,21:03:30,연천,인천
73446,1,1815,부개,END,DOWN,0,K181,1900-01-01 21:03:00,21:03:30,연천,인천
73812,1,1815,부개,SAT,DOWN,0,K181,1900-01-01 21:03:00,21:03:30,연천,인천
74235,1,1816,간석,DAY,DOWN,0,S189,1900-01-01 21:03:00,21:03:30,양주,인천
75720,1,1817,도원,END,DOWN,0,K177,1900-01-01 21:03:00,21:03:30,소요산,인천
76084,1,1817,도원,SAT,DOWN,0,K177,1900-01-01 21:03:00,21:03:30,소요산,인천
80237,1,1901,방학,END,DOWN,0,S199,1900-01-01 21:03:00,21:03:30,양주,인천
80459,1,1901,방학,SAT,DOWN,0,S199,1900-01-01 21:03:00,21:03:30,양주,인천
84891,1,1908,녹양,END,DOWN,0,K201,1900-01-01 21:03:00,21:03:30,소요산,인천
85067,1,1908,녹양,SAT,DOWN,0,K201,1900-01-01 21:03:00,21:03:30,소요산,인천
43,1,150,서울,DAY,DOWN,0,K201,1900-01-01 21:03:30,21:04:00,동두천,인천
15478,1,1003,용산,DAY,DOWN,0,S499,1900-01-01 21:03:30,21:04:00,광운대,서동탄
28602,1,1018,석계,END,DOWN,0,K197,1900-01-01 21:03:30,21:04:00,동두천,인천
28964,1,1018,석계,SAT,DOWN,0,K197,1900-01-01 21:03:30,21:04:00,동두천,인천
54269,1,1725,성환,DAY,DOWN,1,K1949,1900-01-01 21:03:30,21:04:00,청량리,천안
56460,1,1729,당정,END,DOWN,0,K489,1900-01-01 21:03:30,21:04:00,청량리,서동탄
56714,1,1729,당정,SAT,DOWN,0,K489,1900-01-01 21:03:30,21:04:00,청량리,서동탄
69030,1,1811,동인천,DAY,DOWN,1,K1173,1900-01-01 21:03:30,,용산,동인천
78045,1,1822,중동,END,DOWN,0,K183,1900-01-01 21:03:30,21:04:00,동두천,인천
78411,1,1822,중동,SAT,DOWN,0,K183,1900-01-01 21:03:30,21:04:00,동두천,인천
87594,1,1915,동두천,DAY,DOWN,0,K217,1900-01-01 21:03:30,21:04:00,연천,인천
646,1,150,서울,END,DOWN,0,K817,1900-01-01 21:04:00,21:04:30,의정부,구로
1110,1,150,서울,SAT,DOWN,0,K817,1900-01-01 21:04:00,21:04:30,의정부,구로
5676,1,154,종로5가,DAY,DOWN,0,K203,1900-01-01 21:04:00,21:04:30,연천,인천
6153,1,154,종로5가,END,DOWN,0,K193,1900-01-01 21:04:00,21:04:30,연천,인천
6615,1,154,종로5가,SAT,DOWN,0,K193,1900-01-01 21:04:00,21:04:30,연천,인천
12680,1,159,동묘앞,DAY,DOWN,0,S501,1900-01-01 21:04:00,21:04:30,광운대,서동탄
18015,1,1004,노량진,END,DOWN,0,S493,1900-01-01 21:04:00,21:04:30,광운대,서동탄
18624,1,1004,노량진,SAT,DOWN,0,S493,1900-01-01 21:04:00,21:04:30,광운대,서동탄
36061,1,1701,구로,DAY,DOWN,0,K197,1900-01-01 21:04:00,21:05:00,양주,인천
41088,1,1705,관악,END,DOWN,0,K711,1900-01-01 21:04:00,21:04:30,광운대,신창
41342,1,1705,관악,SAT,DOWN,0,K711,1900-01-01 21:04:00,21:04:30,광운대,신창
46261,1,1712,화서,DAY,DOWN,0,K693,1900-01-01 21:04:00,21:04:30,광운대,천안
46527,1,1712,화서,END,DOWN,0,K709,1900-01-01 21:04:00,21:04:30,광운대,신창
46781,1,1712,화서,SAT,DOWN,0,K709,1900-01-01 21:04:00,21:04:30,광운대,신창
54891,1,1726,직산,END,DOWN,0,K703,1900-01-01 21:04:00,21:04:30,광운대,신창
55051,1,1726,직산,SAT,DOWN,0,K703,1900-01-01 21:04:00,21:04:30,광운대,신창
60253,1,1803,역곡,END,DOWN,1,K1135,1900-01-01 21:04:00,21:04:30,용산,동인천
60619,1,1803,역곡,SAT,DOWN,1,K1135,1900-01-01 21:04:00,21:04:30,용산,동인천
67156,1,1809,주안,END,DOWN,1,K1133,1900-01-01 21:04:00,21:04:30,용산,동인천
67520,1,1809,주안,SAT,DOWN,1,K1133,1900-01-01 21:04:00,21:04:30,용산,동인천
74585,1,1816,간석,END,DOWN,0,K179,1900-01-01 21:04:00,21:04:30,양주,인천
74949,1,1816,간석,SAT,DOWN,0,K179,1900-01-01 21:04:00,21:04:30,양주,인천
76883,1,1821,온수,END,DOWN,0,K185,1900-01-01 21:04:00,21:04:30,양주,인천
77249,1,1821,온수,SAT,DOWN,0,K185,1900-01-01 21:04:00,21:04:30,양주,인천
77618,1,1822,중동,DAY,DOWN,0,K193,1900-01-01 21:04:00,21:04:30,양주,인천
82767,1,1905,회룡,DAY,DOWN,0,K813,1900-01-01 21:04:00,21:04:30,연천,구로
2963,1,152,종각,DAY,DOWN,0,K699,1900-01-01 21:04:30,21:05:00,청량리,신창
3446,1,152,종각,END,DOWN,0,K715,1900-01-01 21:04:30,21:05:00,청량리,신창
3908,1,152,종각,SAT,DOWN,0,K715,1900-01-01 21:04:30,21:05:00,청량리,신창
15974,1,1003,용산,END,DOWN,0,K189,1900-01-01 21:04:30,21:05:00,소요산,인천
16583,1,1003,용산,SAT,DOWN,0,K189,1900-01-01 21:04:30,21:05:00,소요산,인천
19072,1,1005,대방,DAY,DOWN,0,K199,1900-01-01 21:04:30,21:05:00,의정부,인천
21045,1,1006,영등포,DAY,DOWN,0,K697,1900-01-01 21:04:30,21:05:00,광운대,천안
21187,1,1006,영등포,DAY,DOWN,1,K1181,1900-01-01 21:04:30,21:05:00,용산,동인천
21885,1,1006,영등포,END,DOWN,1,K1137,1900-01-01 21:04:30,21:05:00,용산,동인천
22535,1,1006,영등포,SAT,DOWN,1,K1137,1900-01-01 21:04:30,21:05:00,용산,동인천
27137,1,1017,신이문,DAY,DOWN,0,K207,1900-01-01 21:04:30,21:05:00,양주,인천
36206,1,1701,구로,DAY,DOWN,0,K7035,1900-01-01 21:04:30,21:05:30,영등포,광명
36969,1,1701,구로,END,DOWN,0,K7035,1900-01-01 21:04:30,21:05:30,영등포,광명
37656,1,1701,구로,SAT,DOWN,0,K7035,1900-01-01 21:04:30,21:05:30,영등포,광명
38204,1,1702,가산디지털단지,DAY,DOWN,0,K497,1900-01-01 21:04:30,21:05:00,광운대,서동탄
49436,1,1716,병점,DAY,DOWN,0,K493,1900-01-01 21:04:30,21:08:30,청량리,서동탄
9835,1,157,제기동,DAY,DOWN,0,K205,1900-01-01 21:05:00,21:05:30,동두천,인천
10292,1,157,제기동,END,DOWN,0,K195,1900-01-01 21:05:00,21:05:30,양주,인천
10734,1,157,제기동,SAT,DOWN,0,K195,1900-01-01 21:05:00,21:05:30,양주,인천
13052,1,159,동묘앞,END,DOWN,0,K495,1900-01-01 21:05:00,21:05:30,광운대,병점
13514,1,159,동묘앞,SAT,DOWN,0,K495,1900-01-01 21:05:00,21:05:30,광운대,병점
31202,1,1021,녹천,DAY,DOWN,0,K209,1900-01-01 21:05:00,21:05:30,동두천,인천
40825,1,1705,관악,DAY,DOWN,0,K695,1900-01-01 21:05:00,21:05:30,광운대,신창
66677,1,1809,주안,DAY,DOWN,0,S189,1900-01-01 21:05:00,21:05:30,양주,인천
69298,1,1811,동인천,END,DOWN,0,K177,1900-01-01 21:05:00,21:05:30,소요산,인천
69662,1,1811,동인천,SAT,DOWN,0,K177,1900-01-01 21:05:00,21:05:30,소요산,인천
81391,1,1903,도봉산,DAY,DOWN,0,S211,1900-01-01 21:05:00,21:05:30,양주,인천
84332,1,1907,가능,END,DOWN,0,K201,1900-01-01 21:05:00,21:05:30,소요산,인천
84508,1,1907,가능,SAT,DOWN,0,K201,1900-01-01 21:05:00,21:05:30,소요산,인천
21765,1,1006,영등포,END,DOWN,0,K713,1900-01-01 21:05:30,21:06:00,광운대,천안
22415,1,1006,영등포,SAT,DOWN,0,K713,1900-01-01 21:05:30,21:06:00,광운대,천안
32222,1,1022,창동,END,DOWN,0,S199,1900-01-01 21:05:30,21:06:00,양주,인천
32444,1,1022,창동,SAT,DOWN,0,S199,1900-01-01 21:05:30,21:06:00,양주,인천
36834,1,1701,구로,END,DOWN,0,K187,1900-01-01 21:05:30,21:06:30,의정부,인천
37521,1,1701,구로,SAT,DOWN,0,K187,1900-01-01 21:05:30,21:06:30,의정부,인천
38506,1,1702,가산디지털단지,END,DOWN,0,K491,1900-01-01 21:05:30,21:06:00,광운대,서동탄
38800,1,1702,가산디지털단지,SAT,DOWN,0,K491,1900-01-01 21:05:30,21:06:00,광운대,서동탄
50447,1,1717,세마,END,DOWN,0,K707,1900-01-01 21:05:30,21:06:00,광운대,천안
50607,1,1717,세마,SAT,DOWN,0,K707,1900-01-01 21:05:30,21:06:00,광운대,천안
51263,1,1719,오산,DAY,DOWN,0,K691,1900-01-01 21:05:30,21:06:00,광운대,천안
52916,1,1722,서정리,END,DOWN,0,K705,1900-01-01 21:05:30,21:06:00,광운대,신창
53076,1,1722,서정리,SAT,DOWN,0,K705,1900-01-01 21:05:30,21:06:00,광운대,신창
62165,1,1805,송내,DAY,DOWN,1,K1177,1900-01-01 21:05:30,21:06:00,용산,동인천
62454,1,1805,송내,END,DOWN,0,K183,1900-01-01 21:05:30,21:06:00,동두천,인천
62820,1,1805,송내,SAT,DOWN,0,K183,1900-01-01 21:05:30,21:06:00,동두천,인천
63616,1,1806,부평,END,DOWN,0,K181,1900-01-01 21:05:30,21:06:00,연천,인천
63982,1,1806,부평,SAT,DOWN,0,K181,1900-01-01 21:05:30,21:06:00,연천,인천
64352,1,1807,백운,DAY,DOWN,0,K191,1900-01-01 21:05:30,21:06:00,연천,인천
76456,1,1821,온수,DAY,DOWN,0,K195,1900-01-01 21:05:30,21:06:00,동두천,인천
86153,1,1911,덕정,DAY,DOWN,0,K215,1900-01-01 21:05:30,21:06:00,소요산,인천
4270,1,153,종로3가,DAY,DOWN,0,K203,1900-01-01 21:06:00,21:06:30,연천,인천
4747,1,153,종로3가,END,DOWN,0,K193,1900-01-01 21:06:00,21:06:30,연천,인천
5209,1,153,종로3가,SAT,DOWN,0,K193,1900-01-01 21:06:00,21:06:30,연천,인천
7236,1,155,동대문,DAY,DOWN,0,S501,1900-01-01 21:06:00,21:06:30,광운대,서동탄
17419,1,1004,노량진,DAY,DOWN,1,K1183,1900-01-01 21:06:00,21:06:30,용산,동인천
26040,1,1016,외대앞,DAY,DOWN,0,K207,1900-01-01 21:06:00,21:06:30,양주,인천
27505,1,1017,신이문,END,DOWN,0,K197,1900-01-01 21:06:00,21:06:30,동두천,인천
27867,1,1017,신이문,SAT,DOWN,0,K197,1900-01-01 21:06:00,21:06:30,동두천,인천
32605,1,1032,신길,DAY,DOWN,0,K199,1900-01-01 21:06:00,21:06:30,의정부,인천
35458,1,1405,배방,END,DOWN,1,K1949,1900-01-01 21:06:00,21:06:30,청량리,신창
35529,1,1405,배방,SAT,DOWN,1,K1949,1900-01-01 21:06:00,21:06:30,청량리,신창
35813,1,1408,신창,DAY,DOWN,0,K683,1900-01-01 21:06:00,,광운대,신창
44917,1,1710,의왕,END,DOWN,0,K489,1900-01-01 21:06:00,21:06:30,청량리,서동탄
45171,1,1710,의왕,SAT,DOWN,0,K489,1900-01-01 21:06:00,21:06:30,청량리,서동탄
59837,1,1803,역곡,DAY,DOWN,1,K1179,1900-01-01 21:06:00,21:06:30,용산,동인천
60126,1,1803,역곡,END,DOWN,0,K185,1900-01-01 21:06:00,21:06:30,양주,인천
60492,1,1803,역곡,SAT,DOWN,0,K185,1900-01-01 21:06:00,21:06:30,양주,인천
62027,1,1805,송내,DAY,DOWN,0,K193,1900-01-01 21:06:00,21:06:30,양주,인천
66759,1,1809,주안,DAY,DOWN,1,K1175,1900-01-01 21:06:00,21:06:30,용산,동인천
67027,1,1809,주안,END,DOWN,0,K179,1900-01-01 21:06:00,21:06:30,양주,인천
67391,1,1809,주안,SAT,DOWN,0,K179,1900-01-01 21:06:00,21:06:30,양주,인천
87234,1,1914,보산,DAY,DOWN,0,K217,1900-01-01 21:06:00,21:06:30,연천,인천
13931,1,1002,남영,DAY,DOWN,0,K201,1900-01-01 21:06:30,21:07:00,동두천,인천
19887,1,1005,대방,END,DOWN,0,S493,1900-01-01 21:06:30,21:07:00,광운대,서동탄
20496,1,1005,대방,SAT,DOWN,0,S493,1900-01-01 21:06:30,21:07:00,광운대,서동탄
55213,1,1727,두정,DAY,DOWN,0,K687,1900-01-01 21:06:30,21:07:00,광운대,신창
70030,1,1812,인천,DAY,DOWN,0,K187,1900-01-01 21:06:30,,소요산,인천
82064,1,1904,망월사,DAY,DOWN,0,K813,1900-01-01 21:06:30,21:07:00,연천,구로
86289,1,1911,덕정,END,DOWN,0,K203,1900-01-01 21:06:30,21:07:00,연천,인천
86401,1,1911,덕정,SAT,DOWN,0,K203,1900-01-01 21:06:30,21:07:00,연천,인천
1557,1,151,시청,DAY,DOWN,0,K699,1900-01-01 21:07:00,21:07:30,청량리,신창
2040,1,151,시청,END,DOWN,0,K715,1900-01-01 21:07:00,21:07:30,청량리,신창
2502,1,151,시청,SAT,DOWN,0,K715,1900-01-01 21:07:00,21:07:30,청량리,신창
7608,1,155,동대문,END,DOWN,0,K495,1900-01-01 21:07:00,21:07:30,광운대,병점
8070,1,155,동대문,SAT,DOWN,0,K495,1900-01-01 21:07:00,21:07:30,광운대,병점
8489,1,156,신설동,DAY,DOWN,0,K205,1900-01-01 21:07:00,21:07:30,동두천,인천
8946,1,156,신설동,END,DOWN,0,K195,1900-01-01 21:07:00,21:07:30,양주,인천
9388,1,156,신설동,SAT,DOWN,0,K195,1900-01-01 21:07:00,21:07:30,양주,인천
14520,1,1002,남영,END,DOWN,0,K817,1900-01-01 21:07:00,21:07:30,의정부,구로
14980,1,1002,남영,SAT,DOWN,0,K817,1900-01-01 21:07:00,21:07:30,의정부,구로
17353,1,1004,노량진,DAY,DOWN,0,S499,1900-01-01 21:07:00,21:07:30,광운대,서동탄
23044,1,1007,신도림,DAY,DOWN,0,K697,1900-01-01 21:07:00,21:07:30,광운대,천안
23186,1,1007,신도림,DAY,DOWN,1,K1181,1900-01-01 21:07:00,21:07:30,용산,동인천
23881,1,1007,신도림,END,DOWN,1,K1137,1900-01-01 21:07:00,21:07:30,용산,동인천
24531,1,1007,신도림,SAT,DOWN,1,K1137,1900-01-01 21:07:00,21:07:30,용산,동인천
41866,1,1706,안양,END,DOWN,0,K711,1900-01-01 21:07:00,21:07:30,광운대,신창
42120,1,1706,안양,SAT,DOWN,0,K711,1900-01-01 21:07:00,21:07:30,광운대,신창
47039,1,1713,수원,DAY,DOWN,0,K693,1900-01-01 21:07:00,21:07:30,광운대,천안
47305,1,1713,수원,END,DOWN,0,K709,1900-01-01 21:07:00,21:07:30,광운대,신창
47559,1,1713,수원,SAT,DOWN,0,K709,1900-01-01 21:07:00,21:07:30,광운대,신창
47765,1,1714,독산,DAY,DOWN,0,K497,1900-01-01 21:07:00,21:07:30,광운대,서동탄
61417,1,1804,부천,END,DOWN,1,K1135,1900-01-01 21:07:00,21:07:30,용산,동인천
61784,1,1804,부천,SAT,DOWN,1,K1135,1900-01-01 21:07:00,21:07:30,용산,동인천
68292,1,1810,제물포,END,DOWN,1,K1133,1900-01-01 21:07:00,21:07:30,용산,동인천
68656,1,1810,제물포,SAT,DOWN,1,K1133,1900-01-01 21:07:00,21:07:30,용산,동인천
70696,1,1813,구일,DAY,DOWN,0,K197,1900-01-01 21:07:00,21:07:30,양주,인천
78833,1,1823,도화,DAY,DOWN,0,S189,1900-01-01 21:07:00,21:07:30,양주,인천
80688,1,1902,도봉,DAY,DOWN,0,S211,1900-01-01 21:07:00,21:07:30,양주,인천
26408,1,1016,외대앞,END,DOWN,0,K197,1900-01-01 21:07:30,21:08:00,동두천,인천
26770,1,1016,외대앞,SAT,DOWN,0,K197,1900-01-01 21:07:30,21:08:00,동두천,인천
